"Downloaded on",04/07/2021,"10:52:09 EDT"
"Search URL",https://www.congress.gov/search?pageSort=numberDesc&q=%7B%22source%22%3A%22comreports%22%2C%22congress%22%3A%22115%22%7D

"Report Number",URL,Congress,Accompanies,Title,Committee
"H. Rept. 115-1110",https://www.congress.gov/congressional-report/115th-congress/house-report/1110/1,"115th Congress (2017-2018)",,"REPORT of the HOUSE PERMANENT SELECT COMMITTEE ON INTELLIGENCE on RUSSIAN ACTIVE MEASURES together with MINORITY VIEWS","House Intelligence (Permanent Select)"
"H. Rept. 115-1109",https://www.congress.gov/congressional-report/115th-congress/house-report/1109/1,"115th Congress (2017-2018)",,"THE REPORT ON THE ACTIVITIES of the COMMITTEE ON HOUSE ADMINISTRATION during the 115TH CONGRESS together with minority views","Committee on House Administration"
"H. Rept. 115-1108",https://www.congress.gov/congressional-report/115th-congress/house-report/1108/1,"115th Congress (2017-2018)",,"REPORT ON ACTIVITIES DURING THE 115TH CONGRESS (JANUARY 3, 2017 TO DECEMBER 27, 2018)","House Agriculture"
"H. Rept. 115-1107",https://www.congress.gov/congressional-report/115th-congress/house-report/1107/1,"115th Congress (2017-2018)","H.R. 4557","REFORMING DISASTER RECOVERY ACT OF 2018","House Financial Services"
"H. Rept. 115-1106",https://www.congress.gov/congressional-report/115th-congress/house-report/1106/1,"115th Congress (2017-2018)","H.R. 6226","AMERICAN SPACE SITUATIONAL AWARENESS AND FRAMEWORK FOR ENTITY MANAGEMENT ACT","House Science, Space, and Technology"
"H. Rept. 115-1105",https://www.congress.gov/congressional-report/115th-congress/house-report/1105/1,"115th Congress (2017-2018)","H.R. 6355","PROVIDING ESA TIMING IMPROVEMENTS THAT INCREASE OPPORTUNITIES FOR NONLISTING ACT OF 2018","House Natural Resources"
"H. Rept. 115-1104",https://www.congress.gov/congressional-report/115th-congress/house-report/1104/1,"115th Congress (2017-2018)","H.R. 5025","LIMITATION ON CERTAIN FISHERIES ENFORCEMENT BASED ON OBSERVER REPORTS","House Natural Resources"
"H. Rept. 115-1103",https://www.congress.gov/congressional-report/115th-congress/house-report/1103/1,"115th Congress (2017-2018)","H.Res. 1185","PROVIDING FOR CONSIDERATION OF THE BILL (S. 2322) TO AMEND THE FEDERAL FOOD, DRUG, AND COSMETIC ACT TO DEFINE THE TERM NATURAL CHEESE","House Rules"
"H. Rept. 115-1102",https://www.congress.gov/congressional-report/115th-congress/house-report/1102/1,"115th Congress (2017-2018)","H.R. 5503","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION AUTHORIZATION ACT OF 2018","House Science, Space, and Technology"
"H. Rept. 115-1101",https://www.congress.gov/congressional-report/115th-congress/house-report/1101/1,"115th Congress (2017-2018)","H.R. 6468","IMPROVING SCIENCE IN CHEMICAL ASSESSMENTS ACT","House Science, Space, and Technology"
"H. Rept. 115-1100",https://www.congress.gov/congressional-report/115th-congress/house-report/1100/1,"115th Congress (2017-2018)",,"REPORT ON THE ACTIVITIES of the COMMITTEE ON ARMED SERVICES for the ONE HUNDRED FIFTEENTH CONGRESS","House Armed Services"
"H. Rept. 115-1099",https://www.congress.gov/congressional-report/115th-congress/house-report/1099/1,"115th Congress (2017-2018)",,"SUMMARY ON THE ACTIVITIES OF THE COMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE FOR THE 115TH CONGRESS","House Transportation and Infrastructure"
"H. Rept. 115-1098",https://www.congress.gov/congressional-report/115th-congress/house-report/1098/1,"115th Congress (2017-2018)","H.R. 4460","DISASTER RECOVERY REFORM ACT","House Transportation and Infrastructure"
"H. Rept. 115-1097",https://www.congress.gov/congressional-report/115th-congress/house-report/1097/1,"115th Congress (2017-2018)","H.R. 6743","CONSUMER INFORMATION NOTIFICATION REQUIREMENT ACT","House Financial Services"
"H. Rept. 115-1096",https://www.congress.gov/congressional-report/115th-congress/house-report/1096/1,"115th Congress (2017-2018)","H.R. 6158","BROKERED DEPOSIT AFFILIATE-SUBSIDIARY MODERNIZATION ACT OF 2018","House Financial Services"
"H. Rept. 115-1095",https://www.congress.gov/congressional-report/115th-congress/house-report/1095/1,"115th Congress (2017-2018)","H.R. 5534","GIVE USEFUL INFORMATION TO DEFINE EFFECTIVE COMPLIANCE ACT","House Financial Services"
"H. Rept. 115-1094",https://www.congress.gov/congressional-report/115th-congress/house-report/1094/1,"115th Congress (2017-2018)","H.R. 5054","SMALL COMPANY DISCLOSURE SIMPLIFICATION ACT OF 2018","House Financial Services"
"H. Rept. 115-1093",https://www.congress.gov/congressional-report/115th-congress/house-report/1093/1,"115th Congress (2017-2018)",,"IN THE MATTER OF ALLEGATIONS RELATING TO REPRESENTATIVE ELIZABETH ESTY","House Ethics"
"H. Rept. 115-1092",https://www.congress.gov/congressional-report/115th-congress/house-report/1092/1,"115th Congress (2017-2018)","H.R. 6939","RESTORING LOCAL INPUT AND ACCESS TO PUBLIC LANDS ACT OF 2018","House Natural Resources"
"H. Rept. 115-1091",https://www.congress.gov/congressional-report/115th-congress/house-report/1091/1,"115th Congress (2017-2018)","H.R. 502","LAND AND WATER CONSERVATION FUND REAUTHORIZATION AND FAIRNESS ACT","House Natural Resources"
"H. Rept. 115-1090",https://www.congress.gov/congressional-report/115th-congress/house-report/1090/1,"115th Congress (2017-2018)","H.Res. 1183","PROVIDING FOR CONSIDERATION OF THE SENATE AMENDMENT TO THE HOUSE AMENDMENT TO THE SENATE AMENDMENT TO THE BILL (H.R. 695) TO AMEND THE NATIONAL CHILD PROTECTION ACT OF 1993 TO ESTABLISH A VOLUNTARY NATIONAL CRIMINAL HISTORY BACKGROUND CHECK SYSTEM AND CRIMINAL HISTORY REVIEW PROGRAM FOR CERTAIN INDIVIDUALS WHO, RELATED TO THEIR EMPLOYMENT, HAVE ACCESS TO CHILDREN, THE ELDERLY, OR INDIVIDUALS WITH DISABILITIES, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 115-1089",https://www.congress.gov/congressional-report/115th-congress/house-report/1089/1,"115th Congress (2017-2018)","H.R. 6255","MEASURES TO COMBAT INVASIVE LIONFISH","House Natural Resources"
"H. Rept. 115-1088",https://www.congress.gov/congressional-report/115th-congress/house-report/1088/1,"115th Congress (2017-2018)","H.R. 6510","RESTORE OUR PARKS AND PUBLIC LANDS ACT","House Natural Resources"
"H. Rept. 115-1087",https://www.congress.gov/congressional-report/115th-congress/house-report/1087/1,"115th Congress (2017-2018)","H.R. 3535","RUFFEY RANCHERIA RESTORATION ACT OF 2018","House Natural Resources"
"H. Rept. 115-1086",https://www.congress.gov/congressional-report/115th-congress/house-report/1086/1,"115th Congress (2017-2018)","H.R. 2425","PUBLIC LANDS TELECOMMUNICATIONS ACT","House Natural Resources"
"H. Rept. 115-1085",https://www.congress.gov/congressional-report/115th-congress/house-report/1085/1,"115th Congress (2017-2018)","H.Res. 1181","WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES","House Rules"
"H. Rept. 115-1084",https://www.congress.gov/congressional-report/115th-congress/house-report/1084/1,"115th Congress (2017-2018)","H.Res. 1180","PROVIDING FOR CONSIDERATION OF THE SENATE AMENDMENT TO THE BILL (H.R. 88) TO MODIFY THE BOUNDARY OF THE SHILOH NATIONAL MILITARY PARK LOCATED IN TENNESSEE AND MISSISSIPPI, TO ESTABLISH PARKER'S CROSSROADS BATTLEFIELD AS AN AFFILIATED AREA OF THE NATIONAL PARK SYSTEM, AND FOR OTHER PURPOSES; PROVIDING FOR THE PROCEEDINGS DURING THE PERIOD FROM DECEMBER 24, 2018, THROUGH JANUARY 3, 2019","House Rules"
"H. Rept. 115-1083",https://www.congress.gov/congressional-report/115th-congress/house-report/1083/1,"115th Congress (2017-2018)","H.R. 6771","DOMESTIC OFFSHORE ENERGY REINVESTMENT ACT OF 2018","House Natural Resources"
"H. Rept. 115-1082",https://www.congress.gov/congressional-report/115th-congress/house-report/1082/1,"115th Congress (2017-2018)","H.R. 6652","TO DIRECT THE SECRETARY OF THE INTERIOR TO CONVEY CERTAIN FACILITIES, EASEMENTS, AND RIGHTS-OF-WAY TO THE KENNEWICK IRRIGATION DISTRICT, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1081",https://www.congress.gov/congressional-report/115th-congress/house-report/1081/1,"115th Congress (2017-2018)","H.R. 3990","NATIONAL MONUMENT CREATION AND PROTECTION ACT","House Natural Resources"
"H. Rept. 115-1080",https://www.congress.gov/congressional-report/115th-congress/house-report/1080/1,"115th Congress (2017-2018)",,"REPORT ON ACTIVITIES of the COMMITTEE ON SCIENCE, SPACE, AND TECHNOLOGY HOUSE OF REPRESENTATIVES for the ONE HUNDRED FIFTEENTH CONGRESS","House Science, Space, and Technology"
"H. Rept. 115-1079",https://www.congress.gov/congressional-report/115th-congress/house-report/1079/1,"115th Congress (2017-2018)",,"REPORT ON THE ACTIVITIES of the COMMITTEE ON SMALL BUSINESS 115TH CONGRESS","House Small Business"
"H. Rept. 115-1078",https://www.congress.gov/congressional-report/115th-congress/house-report/1078/1,"115th Congress (2017-2018)","H.R. 4758","FOMC POLICY RESPONSIBILITY ACT","House Financial Services"
"H. Rept. 115-1077",https://www.congress.gov/congressional-report/115th-congress/house-report/1077/1,"115th Congress (2017-2018)","H.R. 6745","ACCESS TO CAPITAL CREATES ECONOMIC STRENGTH AND SUPPORTS RURAL AMERICA ACT","House Financial Services"
"H. Rept. 115-1076",https://www.congress.gov/congressional-report/115th-congress/house-report/1076/1,"115th Congress (2017-2018)","H.R. 6130","HELPING STARTUPS CONTINUE TO GROW ACT","House Financial Services"
"H. Rept. 115-1075",https://www.congress.gov/congressional-report/115th-congress/house-report/1075/1,"115th Congress (2017-2018)","H.R. 6021","SMALL BUSINESS AUDIT CORRECTION ACT OF 2018","House Financial Services"
"H. Rept. 115-1074",https://www.congress.gov/congressional-report/115th-congress/house-report/1074/1,"115th Congress (2017-2018)","H.Res. 1176","PROVIDING FOR CONSIDERATION OF THE CONFERENCE REPORT TO ACCOMPANY THE BILL (H.R. 2) TO PROVIDE FOR THE REFORM AND CONTINUATION OF AGRICULTURAL AND OTHER PROGRAMS OF THE DEPARTMENT OF AGRICULTURE THROUGH FISCAL YEAR 2023, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 115-1073",https://www.congress.gov/congressional-report/115th-congress/house-report/1073/1,"115th Congress (2017-2018)","H.R. 350","RECOGNIZING THE PROTECTION OF MOTORSPORTS ACT OF 2017","House Energy and Commerce"
"H. Rept. 115-1072",https://www.congress.gov/congressional-report/115th-congress/house-report/1072/1,"115th Congress (2017-2018)","H.R. 2","AGRICULTURE IMPROVEMENT ACT OF 2018",
"H. Rept. 115-1071",https://www.congress.gov/congressional-report/115th-congress/house-report/1071/1,"115th Congress (2017-2018)","H.R. 5727","EMERY COUNTY PUBLIC LAND MANAGEMENT ACT OF 2018","House Natural Resources"
"H. Rept. 115-1070",https://www.congress.gov/congressional-report/115th-congress/house-report/1070/1,"115th Congress (2017-2018)","H.R. 3593","SECURING OUR BORDERS AND WILDERNESS ACT","House Natural Resources"
"H. Rept. 115-1069",https://www.congress.gov/congressional-report/115th-congress/house-report/1069/1,"115th Congress (2017-2018)","H.R. 6893","SECRET SERVICE OVERTIME PAY EXTENSION ACT","House Oversight and Government Reform"
"H. Rept. 115-1068",https://www.congress.gov/congressional-report/115th-congress/house-report/1068/1,"115th Congress (2017-2018)","H.R. 1552","FAIR AND OPEN COMPETITION ACT","House Oversight and Government Reform"
"H. Rept. 115-1067",https://www.congress.gov/congressional-report/115th-congress/house-report/1067/1,"115th Congress (2017-2018)","H.R. 5859","EDUCATION AND ENERGY ACT OF 2018","House Natural Resources"
"H. Rept. 115-1066",https://www.congress.gov/congressional-report/115th-congress/house-report/1066/1,"115th Congress (2017-2018)","H.R. 2987","21ST CENTURY CONSERVATION SERVICE CORPS ACT","House Natural Resources"
"H. Rept. 115-1065",https://www.congress.gov/congressional-report/115th-congress/house-report/1065/1,"115th Congress (2017-2018)","H.R. 5874","RESTORING ACCOUNTABILITY IN THE INDIAN HEALTH SERVICE ACT OF 2018","House Natural Resources"
"H. Rept. 115-1064",https://www.congress.gov/congressional-report/115th-congress/house-report/1064/1,"115th Congress (2017-2018)","H.R. 4506","JOBS FOR TRIBES ACT","House Natural Resources"
"H. Rept. 115-1063",https://www.congress.gov/congressional-report/115th-congress/house-report/1063/1,"115th Congress (2017-2018)","H.R. 3400","RECREATION NOT RED TAPE ACT","House Natural Resources"
"H. Rept. 115-1062",https://www.congress.gov/congressional-report/115th-congress/house-report/1062/1,"115th Congress (2017-2018)","H.R. 6507","OIL REGION NATIONAL HERITAGE AREA REAUTHORIZATION ACT","House Natural Resources"
"H. Rept. 115-1061",https://www.congress.gov/congressional-report/115th-congress/house-report/1061/1,"115th Congress (2017-2018)","H.R. 6602","TO REAUTHORIZE THE NEW JERSEY COASTAL HERITAGE TRAIL ROUTE, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1060",https://www.congress.gov/congressional-report/115th-congress/house-report/1060/1,"115th Congress (2017-2018)","H.R. 6682","PROTECTION AND TRANSPARENCY FOR ADJACENT LANDOWNERS ACT","House Natural Resources"
"H. Rept. 115-1059",https://www.congress.gov/congressional-report/115th-congress/house-report/1059/1,"115th Congress (2017-2018)","S. 669","COLUMBIA RIVER IN-LIEU AND TREATY FISHING ACCESS SITES IMPROVEMENT ACT","House Natural Resources"
"H. Rept. 115-1058",https://www.congress.gov/congressional-report/115th-congress/house-report/1058/1,"115th Congress (2017-2018)","H.R. 1418","AMENDING THE ALASKA NATIVE CLAIMS SETTLEMENT ACT TO PROVIDE THAT ALEXANDER CREEK, ALASKA, IS AND SHALL BE RECOGNIZED AS AN ELIGIBLE NATIVE VILLAGE UNDER THAT ACT, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1057",https://www.congress.gov/congressional-report/115th-congress/house-report/1057/1,"115th Congress (2017-2018)","S. 245","INDIAN TRIBAL ENERGY DEVELOPMENT AND SELF-DETERMINATION ACT AMENDMENTS OF 2017","House Natural Resources"
"H. Rept. 115-1056",https://www.congress.gov/congressional-report/115th-congress/house-report/1056/1,"115th Congress (2017-2018)","H.R. 6140","ADVANCED NUCLEAR FUEL AVAILABILITY ACT","House Energy and Commerce"
"H. Rept. 115-1055",https://www.congress.gov/congressional-report/115th-congress/house-report/1055/1,"115th Congress (2017-2018)","H.R. 5759","21ST CENTURY INTEGRATED DIGITAL EXPERIENCE ACT","House Oversight and Government Reform"
"H. Rept. 115-1054",https://www.congress.gov/congressional-report/115th-congress/house-report/1054/1,"115th Congress (2017-2018)","H.Res. 1160","PROVIDING FOR CONSIDERATION OF THE SENATE AMENDMENT TO THE BILL (H.R. 88) TO MODIFY THE BOUNDARY OF THE SHILOH NATIONAL MILITARY PARK LOCATED IN TENNESSEE AND MISSISSIPPI, TO ESTABLISH PARKER'S CROSSROADS BATTLEFIELD AS AN AFFILIATED AREA OF THE NATIONAL PARK SYSTEM, AND FOR OTHER PURPOSES","House Rules"
"H. Rept. 115-1053",https://www.congress.gov/congressional-report/115th-congress/house-report/1053/1,"115th Congress (2017-2018)","H.R. 6678","CLAUDE MOORE FARM LAND CONVEYANCE ACT","House Natural Resources"
"H. Rept. 115-1052",https://www.congress.gov/congressional-report/115th-congress/house-report/1052/1,"115th Congress (2017-2018)","H.R. 6365","TREATY OF GUADALUPE-HIDALGO LAND CLAIMS ACT OF 2018","House Natural Resources"
"H. Rept. 115-1051",https://www.congress.gov/congressional-report/115th-congress/house-report/1051/1,"115th Congress (2017-2018)","H.R. 6345","ENSURING MEANINGFUL PETITION OUTREACH WHILE ENHANCING RIGHTS OF STATES ACT OF 2018","House Natural Resources"
"H. Rept. 115-1050",https://www.congress.gov/congressional-report/115th-congress/house-report/1050/1,"115th Congress (2017-2018)","H.R. 6346","WEIGH HABITATS OFFSETTING LOCATIONAL EFFECTS ACT OF 2018","House Natural Resources"
"H. Rept. 115-1049",https://www.congress.gov/congressional-report/115th-congress/house-report/1049/1,"115th Congress (2017-2018)","H.R. 4731","TO EXTEND THE RETAINED USE ESTATE FOR THE CANEEL BAY RESORT IN ST. JOHN, UNITED STATES VIRGIN ISLANDS, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1048",https://www.congress.gov/congressional-report/115th-congress/house-report/1048/1,"115th Congress (2017-2018)","H.R. 3608","ENDANGERED SPECIES TRANSPARENCY AND REASONABLENESS ACT","House Natural Resources"
"H. Rept. 115-1047",https://www.congress.gov/congressional-report/115th-congress/house-report/1047/1,"115th Congress (2017-2018)","H.R. 3588","RED SNAPPER ACT","House Natural Resources"
"H. Rept. 115-1046",https://www.congress.gov/congressional-report/115th-congress/house-report/1046/1,"115th Congress (2017-2018)","H.R. 6777","SETTLEMENT AGREEMENT INFORMATION DATABASE ACT OF 2018","House Oversight and Government Reform"
"H. Rept. 115-1045",https://www.congress.gov/congressional-report/115th-congress/house-report/1045/1,"115th Congress (2017-2018)","H.R. 3154","INSPECTOR GENERAL ACCESS ACT OF 2017","House Oversight and Government Reform"
"H. Rept. 115-1044",https://www.congress.gov/congressional-report/115th-congress/house-report/1044/1,"115th Congress (2017-2018)","H.R. 3121","ALL-AMERICAN FLAG ACT","House Oversight and Government Reform"
"H. Rept. 115-1043",https://www.congress.gov/congressional-report/115th-congress/house-report/1043/1,"115th Congress (2017-2018)","H.R. 2846","FEDERAL AGENCY CUSTOMER EXPERIENCE ACT OF 2018","House Oversight and Government Reform"
"H. Rept. 115-1042",https://www.congress.gov/congressional-report/115th-congress/house-report/1042/1,"115th Congress (2017-2018)",,"IN THE MATTER OF ALLEGATIONS RELATING TO REPRESENTATIVE MARK MEADOWS","House Ethics"
"H. Rept. 115-1041",https://www.congress.gov/congressional-report/115th-congress/house-report/1041/1,"115th Congress (2017-2018)",,"IN THE MATTER OF ALLEGATIONS RELATING TO REPRESENTATIVE RUBEN KIHUEN","House Ethics"
"H. Rept. 115-1040",https://www.congress.gov/congressional-report/115th-congress/house-report/1040/1,"115th Congress (2017-2018)","H.R. 6108","PRESERVING AMERICA'S BATTLEFIELDS ACT","House Natural Resources"
"H. Rept. 115-1039",https://www.congress.gov/congressional-report/115th-congress/house-report/1039/1,"115th Congress (2017-2018)","H.R. 2085","TO APPROVE AN AGREEMENT BETWEEN THE UNITED STATES AND THE REPUBLIC OF PALAU, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1038",https://www.congress.gov/congressional-report/115th-congress/house-report/1038/1,"115th Congress (2017-2018)","H.R. 237","INTEGRATED COASTAL AND OCEAN OBSERVATION SYSTEM ACT AMENDMENTS OF 2018","House Natural Resources"
"H. Rept. 115-1037",https://www.congress.gov/congressional-report/115th-congress/house-report/1037/1,"115th Congress (2017-2018)","S. 607","NATIVE AMERICAN BUSINESS INCUBATORS PROGRAM ACT","House Natural Resources"
"H. Rept. 115-1036",https://www.congress.gov/congressional-report/115th-congress/house-report/1036/1,"115th Congress (2017-2018)","H.R. 4243","TO ESTABLISH A COMMISSION FOR THE PURPOSE OF MAKING RECOMMENDATIONS REGARDING THE MODERNIZATION OR REALIGNMENT OF FACILITIES OF THE VETERANS HEALTH ADMINISTRATION, TO IMPROVE CONSTRUCTION AND MANAGEMENT LEASES OF THE DEPARTMENT OF VETERANS AFFAIRS, TO AMEND AND APPROPRIATE FUNDS FOR THE VETERANS CHOICE PROGRAM, AND FOR OTHER PURPOSES","House Veterans' Affairs"
"H. Rept. 115-1035",https://www.congress.gov/congressional-report/115th-congress/house-report/1035/1,"115th Congress (2017-2018)","H.R. 1675","NATIONAL LANDSLIDE PREPAREDNESS ACT","House Natural Resources"
"H. Rept. 115-1034",https://www.congress.gov/congressional-report/115th-congress/house-report/1034/1,"115th Congress (2017-2018)","H.R. 6066","TO AMEND TITLE 38, UNITED STATES CODE, TO IMPROVE THE PRODUCTIVITY OF THE MANAGEMENT OF DEPARTMENT OF VETERANS AFFAIRS HEALTH CARE, AND FOR OTHER PURPOSES","House Veterans' Affairs"
"H. Rept. 115-1033",https://www.congress.gov/congressional-report/115th-congress/house-report/1033/1,"115th Congress (2017-2018)","H.R. 1662","TO AMEND TITLE 38, UNITED STATES CODE, TO PROHIBIT SMOKING IN ANY FACILITY OF THE VETERANS HEALTH ADMINISTRATION, AND FOR OTHER PURPOSES","House Veterans' Affairs"
"H. Rept. 115-1032",https://www.congress.gov/congressional-report/115th-congress/house-report/1032/1,"115th Congress (2017-2018)","H.R. 1349","TO AMEND THE WILDERNESS ACT TO ENSURE THAT THE USE OF BICYCLES, WHEELCHAIRS, STROLLERS, AND GAME CARTS IS NOT PROHIBITED IN WILDERNESS AREAS, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1031",https://www.congress.gov/congressional-report/115th-congress/house-report/1031/1,"115th Congress (2017-2018)","H.R. 553","TO REDESIGNATE GRAVELLY POINT PARK, LOCATED ALONG THE GEORGE WASHINGTON MEMORIAL PARKWAY IN ARLINGTON COUNTY, VIRGINIA, AS THE NANCY REAGAN MEMORIAL PARK, AND FOR OTHER PURPOSES","House Natural Resources"
"H. Rept. 115-1030",https://www.congress.gov/congressional-report/115th-congress/house-report/1030/1,"115th Congress (2017-2018)","H.R. 3133","STREAMLINING ENVIRONMENTAL APPROVALS ACT OF 2017","House Natural Resources"
"H. Rept. 115-1029",https://www.congress.gov/congressional-report/115th-congress/house-report/1029/1,"115th Congress (2017-2018)","H.R. 6665","OFFSHORE WIND FOR TERRITORIES ACT","House Natural Resources"
"H. Rept. 115-1028",https://www.congress.gov/congressional-report/115th-congress/house-report/1028/1,"115th Congress (2017-2018)","H.R. 4177","PREPAREDNESS AND RISK MANAGEMENT FOR EXTREME WEATHER PATTERNS ASSURING RESILIENCE AND EFFECTIVENESS ACT OF 2017","House Transportation and Infrastructure"
